label,text
Last session of the day  http://twitpic.com/67ezh,neutral
Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,positive
"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",negative
happy bday!,positive
http://twitpic.com/4w75p - I like it!!,positive
that`s great!! weee!! visitors!,positive
I THINK EVERYONE HATES ME ON HERE   lol,negative
" soooooo wish i could, but im in school and myspace is completely blocked",negative
and within a short time of the last clue all of them,neutral
What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,neutral
My bike was put on hold...should have known that.... argh total bummer,negative
I checked.  We didn`t win,neutral
.. and you`re on twitter! Did the tavern bore you that much?,neutral
"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",negative
Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,negative
"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week",negative
 Miss you,negative
Cramps . . .,negative
you guys didn`t say hi or answer my questions yesterday  but nice songs.,negative
"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",neutral
Stupid storm. No river for us tonight,negative
My dead grandpa pays more attention to me than you do,negative
"... need retail therapy, bad. AHHH.....gimme money geebus",negative
about to go to sleep,neutral
you are lame  go make me breakfast!!,negative
thats so cool,positive
"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",neutral
"Huh, another ScarePoint coding Sunday",neutral
look who I found just for you  --->  http://twitter.com/DJT2009,positive
"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",negative
guess that depends on if you want to be on the jury,neutral
negative,	Crainte que je vous aime aussi !!!! Je suis ici; je vous manque
negative,	Je pleure mes yeux asiatiques pour dormir la nuit
negative,	Ok; je suis malade et j'ai passé une heure assise dans la douche parce que j'étais trop malade pour supporter et retenir le puke comme un champion. au lit maintenant
negative,	Je vous raconte l'histoire plus tard pas une bonne journée et je travaillerai comme trois heures de plus ...
negative,	Pardon! Le temps de coucher est venu ici (gmt + positive;)
negative,	Je ne le fais pas non plus. c'est déprimant. Je ne pense pas que je voulais même savoir sur les enfants dans les valises.
negative,	lit. Classe 8-positive;2. Travail positive;2-3. Gymnase 3-5 ou 6. puis classe 6-positive;negative;. Un autre jour qui va passer. ma petite amie me manque
negative,	Je n'ai vraiment pas envie de me lever aujourd'hui ... mais je dois étudier pour un examen pratique de demain ...
negative,	Il est la raison de la larme sur ma guitare; le seul qui a assez de moi pour me casser
negative,	triste triste triste. Je ne sais pas pourquoi; mais je déteste ce sentiment; je veux dormir et je ne peux toujours pas!
negative,	Awww; je souhaite que j'étais là pour vous voir enfin à l'aise! Je suis triste que je l'ai manqué
negative,	s'endormir. Vient d'entendre parler du corps de cette fille de tracy. Quelle est la tristeté de mes familles pour cette famille.
negative,	Yay! Je suis heureux pour vous avec votre travail! Mais cela signifie aussi moins de temps pour moi et vous ...
negative,	J'ai juste vérifié mon chronologie de l'utilisateur sur mon Blackberry; il semble que le twanking est toujours en train de se produire. Ppl a-t-il encore des problèmes avec wgs / wgs?
negative,	Oh mec ... était le top préféré de repasser à porter à une réunion. L'a brûlé
negative,	Est étrangement triste de voir lilo et Samro se séparer.
positive,	Je vous aime; les gars sont les meilleurs!		
positive,	Je me retrouve avec un de mes besties ce soir! Je ne peux pas attendre! - conversation de filles!!		
positive,	Merci pour l'ajout de Twitter; sunisa! Je dois vous rencontrer une fois dans un show hin ici dans la région de DC et vous étiez un monstre.		
positive,	Être malade peut être vraiment bon marché quand il fait trop mal pour manger de la vraie nourriture; vos amis vous font soupe		
positive,	Il a cet effet sur tout le monde		
positive,	Vous pouvez lui dire que je viens d'éclater de rire vraiment fort en raison de cela; merci de me faire sortir de ma boude!		
positive,	Merci pour votre réponse. J'avais déjà trouvé cette réponse		
positive,	Je suis tellement jaloux; j'espère que vous avez passé un bon moment à Vegas! Comment avez-vous aimé les acm ?! Aime ton spectacle !!		
positive,	Ah; félicite mr fletcher pour finalement rejoindre Twitter		
positive,	J'ai répondu que le chat stupide m'aidé à taper. Pardonner des erreurs		
positive,	Jour de l'école folle. Il y a une durée de positive;0 heures. Sur le point de regarder les collines. M'a dit aussi! Ha. Joyeux anniversaire jb!		
positive,	Comment ai-je oublié deux hommes et demi?!?!? J'adore ce spectacle !!!		
positive,	Haha; ne t'inquiète pas! Vous en ferrez tout!		
positive,	Au moins; je ne serai pas le seul à se sentir perdu! Cela peut me causer beaucoup de nuits plus tard que d'habitude; déjà addictives	
negative,	يا اخوانا و الله لسة مطالبنا ما أتحقق منها غير مطلب واحد .. عليكم الله الناس ما تتخاذل 💔
negative,	قد طال صبري في النوى إذ تركتني كئيبا ؛ غريبا باكيا متوجعا 😔 ف يامهجتي ياروح قلبي ياراحتي آغثني ف قلبي كاد أن…
negative,	مالك حق تمدح قاعهم وديرتنا فيها مطر 😬
negative, ي زقتين وزود على ذا كله اسمي العنود كتلة عناد تتمشى 💔
negative,	مع غيري كتيير 😱
neutral,	أهلا بكم في عاصمة التوائم في العالم" لافتة ترحب بزوار ولاية أويو بنيجيريا حيث يعتقد السكان أن حساء أوراق البامية…
negative,	مساكين المغتربين والله فاتهم سقوطين يعني مافي حاجة ممكن توصف شعورهم تخيل تكون مغبون مرة وتنغبن تاني 😔
negative,	تايملاين كله خطوبات 🤦‍♂️ مستعجلين على ايه ولاد 💔
positive,	وصوتك كوكبي الوهاج وحسك فييه :( 💛💆🏻‍♀️
